20189	仝
20124	亜
21782	唖
23043	娃
38463	阿
21696	哀
24859	愛
25384	挨
23030	姶
36898	逢
33909	葵
33564	茜
31312	穐
24746	悪
25569	握
28197	渥
26093	旭
33894	葦
33446	芦
39925	鯵
26771	梓
22311	圧
26017	斡
25201	扱
23451	宛
22992	姐
34427	虻
39156	飴
32098	絢
32190	綾
39822	鮎
25110	或
31903	粟
34999	袷
23433	安
24245	庵
25353	按
26263	暗
26696	案
38343	闇
38797	鞍
26447	杏
20197	以
20234	伊
20301	位
20381	依
20553	偉
22258	囲
22839	夷
22996	委
23041	威
23561	尉
24799	惟
24847	意
24944	慰
26131	易
26885	椅
28858	為
30031	畏
30064	異
31227	移
32173	維
32239	緯
32963	胃
33806	萎
35586	謂
36949	違
36986	遺
21307	医
20117	井
20133	亥
22495	域
32946	育
37057	郁
30959	磯
22769	壱
28322	溢
36920	逸
31282	稲
33576	茨
33419	芋
39983	鰯
20801	允
21360	印
21693	咽
21729	員
22240	因
23035	姻
24341	引
39154	飲
28139	淫
32996	胤
34093	蔭
38498	院
38512	陰
38560	隠
38907	韻
21515	吋
21491	右
23431	宇
28879	烏
36802	迂
21359	卯
40284	鵜
31418	窺
19985	丑
30867	碓
28198	渦
22040	嘘
21764	唄
27421	欝
34074	蔚
39995	鰻
23013	姥
21417	厩
28006	浦
38287	閏
22082	噂
20113	云
36939	運
38642	雲
33615	荏
39180	餌
21473	叡
21942	営
23344	嬰
24433	影
26144	映
26355	曳
26628	栄
27704	永
27891	泳
27945	洩
29787	瑛
30408	盈
31310	穎
38964	頴
33521	英
34907	衛
35424	詠
37613	鋭
28082	液
30123	疫
30410	益
39365	駅
24742	悦
35585	謁
36234	越
38322	閲
27022	榎
21421	厭
20870	円
22290	園
22576	堰
22852	奄
23476	宴
24310	延
24616	怨
25513	掩
25588	援
27839	沿
28436	演
28814	炎
28948	焔
29017	煙
29141	燕
29503	猿
32257	縁
33398	艶
33489	苑
34199	薗
36960	遠
37467	鉛
40219	鴛
22633	塩
26044	於
27738	汚
29989	甥
20985	凹
22830	央
22885	奥
24448	往
24540	応
25276	押
26106	旺
27178	横
27431	欧
27572	殴
29579	王
32705	翁
35158	襖
40236	鴬
40206	鴎
23713	岡
27798	沖
33659	荻
20740	億
23627	屋
25014	憶
33222	臆
26742	桶
29281	牡
20474	俺
21368	卸
24681	恩
28201	温
31311	穏
19979	下
21270	化
20206	仮
20309	何
20285	伽
20385	価
20339	佳
21152	加
21487	可
22025	嘉
22799	夏
23233	嫁
23478	家
23521	寡
31185	科
26247	暇
26524	果
26550	架
27468	歌
27827	河
29634	珂
31117	禍
31292	稼
31623	箇
33457	花
33499	苛
33540	茄
33655	荷
33775	華
33747	菓
34662	蝦
35506	課
22057	嘩
36008	貨
36838	迦
36942	過
38686	霞
34442	蚊
20420	俄
23784	峨
25105	我
30011	画
33253	臥
33469	芽
34558	蛾
36032	賀
38597	雅
39187	餓
39381	駕
20171	介
20250	会
35299	解
22238	回
22602	塊
22730	壊
24315	廻
24555	快
24618	怪
24724	悔
24674	恢
25040	懐
25106	戒
25296	拐
25913	改
39745	魁
26214	晦
26800	械
28023	海
28784	灰
30028	界
30342	皆
32117	絵
33445	芥
34809	蟹
38283	開
38542	階
20977	凱
21182	劾
22806	外
21683	咳
23475	害
23830	崖
24936	慨
27010	概
28079	涯
30861	碍
